id,nome,cpf,email,telefone,data_nascimento,cidade,estado,data_cadastro,excluido_lgpd
42,Arthur Gabriel Sales,537.812.049-79,davi64@example.org,+55 53 97139-0053,1973-06-16,Viana,RJ,2026-09-05,0
43,Giovanna Pastor,395.614.078-84,valentinada-cunha@example.org,+55 48 90205-3950,1959-08-26,da Luz,AL,2022-12-23,0
44,Valentina Camargo,178.624.093-96,siqueiraraquel@example.com,82 90076-6177,1954-04-24,Barros,MT,2025-11-03,0
45,Davi Lucas da Mota,985.347.216-37,vieiraian@example.net,+55 87 96736-5766,1987-01-30,Dias,PA,2023-04-26,0
46,Marcelo Cassiano,718.605.349-10,dantepastor@example.net,34 91656-0494,1966-12-14,Caldeira Verde,PE,2025-07-07,0
47,Rafaela Câmara,158.024.936-15,benjamin24@example.net,27 95502-2961,1960-02-29,Sousa,RS,2023-05-06,0
48,Dra. Helena Garcia,675.128.430-62,cassianolevi@example.net,+55 27 91476-7976,1947-10-09,Cunha do Galho,AM,2023-01-28,0
49,João Miguel Rocha,974.013.682-69,otavio24@example.com,33 91076-2268,1969-03-05,Montenegro,PI,2024-07-06,0
50,Sr. Miguel Sousa,069.372.841-87,hda-rocha@example.com,+55 16 95297-5161,2002-05-25,Lopes,RJ,2025-07-11,0
51,Miguel das Neves,539.610.428-70,clara23@example.org,+55 64 94329-2127,1972-12-08,Sá de Nunes,SP,2024-11-29,0
52,Luna Pires,527.039.816-86,natalia14@example.com,79 90054-1199,1985-02-12,Martins Verde,PI,2024-08-05,0
53,Rael Oliveira,357.410.968-75,montenegroluiz-felipe@example.org,+55 96 97788-9255,1999-07-27,Gomes das Pedras,SP,2025-10-29,0
54,Ana Júlia Vieira,519.043.286-60,enrico92@example.com,27 96291-4865,1968-09-17,Rios,RR,2025-07-28,0
55,Valentina Borges,685.027.193-86,ocorreia@example.org,+55 66 91418-8805,2002-02-04,Peixoto,MG,2025-10-29,0
56,Enzo Silveira,706.251.394-61,ida-conceicao@example.org,27 97359-7746,1956-03-07,Castro do Oeste,SE,2023-05-18,0
57,Benjamim Ramos,751.840.263-71,manuella82@example.com,+55 43 93750-6068,1986-10-31,da Costa das Flores,AP,2023-04-10,0
58,Liam Brito,528.073.194-32,apimenta@example.org,+55 15 94328-9861,1971-03-14,da Costa da Mata,AM,2023-08-22,0
59,Natália Azevedo,170.546.928-02,liz09@example.com,+55 94 99621-8518,1948-12-07,Gomes,PR,2023-09-13,0
60,Maria Fernanda da Cunha,051.279.643-25,zoe52@example.net,83 97221-7043,1948-08-25,Vieira,DF,2025-05-22,0
61,Dr. Théo Gonçalves,874.051.296-76,yago15@example.com,62 97652-7758,2005-12-18,Barros das Pedras,AP,2022-11-12,0
62,Yago da Rocha,518.296.473-00,liviaferreira@example.com,+55 22 95964-0165,1974-12-27,Alves,BA,2025-03-31,0
63,Maysa Andrade,213.659.480-05,manuellafreitas@example.com,75 91928-5654,2003-06-09,Camargo,AC,2025-04-08,0
64,Stella Gomes,814.623.957-91,hcosta@example.org,+55 35 97271-5518,1995-10-01,da Rosa da Serra,RR,2023-06-24,0
65,Dra. Emanuella Vieira,583.019.476-75,emilly78@example.org,+55 42 91467-8669,1993-12-21,Cardoso,MT,2026-08-18,0
66,Nina Rodrigues,852.649.103-24,camposrafaela@example.org,22 92253-5841,1989-05-25,Costa da Prata,GO,2023-01-01,0
67,Vitor Borges,829.154.730-05,barroscaleb@example.net,11 93969-0784,1954-03-16,Mendes de Goiás,SE,2025-05-05,0
68,Letícia Marques,102.365.489-05,ana-sophiasilva@example.com,41 96258-8153,2000-08-16,Campos de da Mata,PB,2025-08-07,0
69,Benicio da Rocha,693.812.407-87,dmoraes@example.com,24 97016-8733,1962-07-23,Aragão do Norte,MA,2023-04-14,0
70,Olivia da Paz,801.372.456-53,guerracaua@example.net,+55 81 95841-6878,1979-05-13,Pinto do Campo,BA,2025-03-24,0
71,Dr. Luiz Otávio Sá,236.405.781-71,dmoreira@example.org,97 92595-2694,1952-04-07,Montenegro do Galho,PI,2024-05-11,0
72,Letícia Melo,058.793.246-56,pda-luz@example.net,+55 91 90972-8962,1979-01-08,Andrade,RJ,2025-09-12,0
73,Antony Macedo,562.391.874-37,santosjoao-guilherme@example.net,+55 85 98578-6527,1993-05-10,Nogueira da Praia,RO,2023-02-25,0
74,Dra. Julia Pimenta,738.246.195-55,marianadias@example.com,42 98441-9866,1998-03-21,Vargas Grande,MA,2026-05-17,0
75,Srta. Manuella Macedo,473.192.508-88,ryanaragao@example.net,+55 89 93016-5712,1948-07-19,Novaes,CE,2023-11-28,0
76,Pietra Rezende,345.270.869-10,cavalcantilara@example.org,+55 21 96724-0049,1973-05-17,Farias,MA,2025-06-18,0
77,Valentina Monteiro,287.910.645-11,marcelo05@example.com,+55 81 92966-8516,1976-08-08,Cirino,BA,2025-05-31,0
78,André da Luz,637.925.480-38,eloah30@example.net,+55 51 97426-8414,1978-03-06,Pimenta de Goiás,ES,2024-01-23,0
79,Rafael Souza,956.843.102-06,tmoura@example.com,+55 37 99108-8398,1954-10-10,Cavalcante,MT,2024-09-19,0
80,Bruna Rodrigues,371.490.568-57,dnunes@example.net,83 94064-0391,2003-11-01,Lima,MS,2024-11-24,0
81,Ana Liz Azevedo,704.315.692-07,ygarcia@example.org,+55 61 95128-6823,1993-05-07,Sá,AC,2022-12-16,0
82,Ísis Lima,863.172.950-77,andradelarissa@example.net,+55 15 93311-9079,1965-12-27,da Cruz,SC,2024-08-27,0
83,Isabel Nogueira,302.471.596-70,ana-juliacasa-grande@example.net,99 93644-0892,1948-09-11,Novais do Amparo,AL,2024-05-24,0
84,Maria Helena Viana,856.312.709-86,raelda-rosa@example.net,+55 63 97086-6882,1969-02-14,da Cruz Paulista,DF,2025-06-03,0
85,Rael Freitas,183.027.645-07,maria-luizacostela@example.com,22 90331-7393,1968-02-28,da Costa da Prata,MT,2025-06-08,0
86,Nina Nascimento,548.273.901-50,nicolas55@example.com,+55 24 99320-4899,1998-06-17,da Rocha Grande,DF,2023-11-21,0
87,Isabelly Monteiro,854.639.701-57,joao-lucassilveira@example.net,91 92808-0100,1968-02-18,Carvalho de Goiás,AP,2023-08-31,0
88,Henrique Montenegro,750.486.321-17,abreusophia@example.net,65 90084-8408,1993-10-22,Cavalcanti do Campo,AM,2023-04-30,0
89,Gael Pinto,845.230.617-26,raelda-rosa@example.net,+55 38 90166-6870,1981-05-15,Sampaio,CE,2023-04-27,0
90,Luísa Nunes,180.964.357-01,rodriguesalana@example.net,+55 19 92503-9261,1951-04-25,Castro Verde,ES,2024-10-23,0
91,Ágatha Farias,621.458.037-26,domfernandes@example.net,61 95047-7358,1984-04-01,Lopes da Serra,RO,2026-03-27,0
92,Antonella Vargas,943.506.281-42,heloisadias@example.com,+55 47 91047-5412,1985-07-22,Cirino,PA,2025-06-30,0
93,Sophie Jesus,109.248.675-58,julia61@example.net,+55 95 99826-2244,1976-03-25,Monteiro Grande,AP,2025-01-20,0
94,Otto da Rosa,715.283.940-97,ana-juliaabreu@example.com,35 99657-5692,1957-01-23,Duarte do Oeste,PR,2024-07-14,0
95,Luiza da Rocha,735.826.904-74,isisalves@example.net,83 93741-6724,1967-01-25,da Cunha,RO,2023-06-10,0
96,Maria Flor Barbosa,796.483.015-57,vargastheo@example.net,43 92909-6561,1956-03-05,Brito,GO,2025-09-23,0
97,Dra. Hellena Machado,567.894.130-57,scaldeira@example.com,+55 41 91254-5738,1960-10-16,Ferreira de Melo,AM,2024-11-09,0
98,Sra. Luiza Azevedo,401.826.759-20,liamfarias@example.net,69 97362-2660,1975-07-03,Machado,RJ,2025-10-03,0
99,Heitor Costela,418.697.250-85,qcamargo@example.net,91 98596-9691,1974-12-01,Fogaça dos Dourados,RN,2024-05-04,0
100,Letícia Pimenta,912.708.653-40,joao-miguel86@example.com,+55 62 99662-7828,1957-06-05,Mendonça,MA,2026-02-23,0
101,Dr. Benjamim Fogaça,072.134.568-90,csantos@example.com,+55 69 91903-4043,1955-03-27,Cavalcante dos Dourados,RJ,2023-06-25,0
102,Sophia Camargo,914.672.058-85,laiscaldeira@example.net,+55 96 94074-5171,1996-03-19,Costela,SE,2025-12-21,0
103,Sra. Mariane Cavalcante,923.610.875-02,aylasantos@example.com,18 99481-2604,1995-11-18,Sampaio,BA,2025-03-09,0
104,Sra. Isadora Teixeira,672.458.319-55,portofrancisco@example.com,97 94577-5901,1962-09-04,Porto de Rios,RR,2023-04-23,0
105,Vitor Gonçalves,369.725.410-34,vviana@example.net,+55 27 90170-1277,1970-01-23,Lima,DF,2026-04-20,0
106,Kevin Castro,415.206.873-62,ravi-lucca61@example.net,+55 44 90371-2938,1992-07-18,Albuquerque de Albuquerque,RR,2026-07-21,0
107,Otávio Sales,271.830.456-17,ana-clara26@example.org,+55 63 91890-9275,1969-01-24,Pires,SC,2026-02-28,0
108,Melina Cunha,192.604.387-13,joao-lucas34@example.net,+55 41 93899-9404,1955-12-27,Moreira,RN,2026-08-07,0
109,Sra. Laís Ramos,037.891.625-40,fonsecaanna-liz@example.org,54 99658-2710,1980-05-11,Albuquerque,GO,2023-06-28,0
110,Miguel Montenegro,486.357.029-56,enzo41@example.net,+55 84 92856-9146,1960-05-14,Araújo,ES,2022-11-08,0
111,Bruna Marques,904.561.832-05,castromaysa@example.com,99 98425-2410,1951-07-21,Lima Paulista,PE,2026-08-14,0
112,Dra. Ana Vitória Monteiro,785.034.196-10,gustavo91@example.org,96 90003-0756,1950-01-12,Cavalcanti,AL,2023-10-21,0
113,Dra. Mariah Câmara,536.927.041-43,montenegrocaua@example.org,+55 89 98061-7445,1983-04-23,Novaes,PB,2026-02-06,0
114,João Vitor Nunes,437.298.160-04,anthony-gabrieljesus@example.org,+55 92 98505-0641,1946-03-25,Moura,ES,2024-04-03,0
115,Diego Silva,410.893.267-69,montenegrojoao-felipe@example.net,55 91990-6234,1974-04-03,Dias das Flores,RR,2024-10-11,0
116,Dr. Rael da Mata,319.840.652-89,umartins@example.com,+55 51 98537-4741,2002-04-18,Castro,SE,2025-10-24,0
117,Dra. Ana Cecília Cunha,521.978.340-88,vicente20@example.com,79 98831-7121,1992-05-15,Araújo,TO,2023-12-24,0
118,Gael Henrique Guerra,514.609.738-01,franciscofarias@example.org,+55 22 97029-6670,1998-10-30,Rodrigues das Pedras,CE,2023-08-19,0
119,João Guilherme da Mota,720.465.183-90,jjesus@example.com,+55 32 91462-6383,1969-10-09,Garcia,SE,2023-08-07,0
120,Ísis Viana,758.321.046-17,vasconcelosalana@example.org,85 98593-2133,1994-03-25,Nascimento do Norte,SP,2024-03-18,0
121,Maria Cavalcanti,235.679.041-16,marcos-viniciusmonteiro@example.net,27 92701-0393,1960-08-13,Moura,PR,2025-02-18,0
122,Gabriela Cardoso,529.061.473-70,freitasisabela@example.net,+55 45 95452-2675,1945-09-24,Santos,PI,2024-02-05,0
123,Maria Alice Câmara,926.857.104-85,kvargas@example.org,+55 75 99593-9172,1992-11-18,Souza de Minas,ES,2026-06-20,0
124,Caio Santos,570.219.846-85,silveiraalexandre@example.org,53 97626-7658,1969-04-15,Brito do Amparo,SE,2024-01-17,0
125,Heloisa Castro,710.296.453-61,luigi62@example.net,+55 37 98159-9706,2004-06-26,Pereira,PA,2025-02-21,0
126,Lucas Costela,364.528.107-07,joliveira@example.com,+55 66 90506-1497,1956-05-17,Brito,AC,2022-11-30,0
127,Lavínia Barros,714.635.928-09,ramosyasmin@example.com,+55 77 95652-7047,1959-10-08,da Luz de Câmara,TO,2023-05-31,0
128,Dom Sá,195.643.820-33,amoreira@example.net,86 99374-1608,1963-12-18,Campos,SP,2025-01-31,0
129,Heitor Correia,206.853.197-68,antonella11@example.com,61 98548-7099,1976-03-29,Camargo das Pedras,BA,2023-06-03,0
130,Beatriz Caldeira,914.672.385-46,moliveira@example.com,+55 21 92462-9960,1955-10-09,Farias de Goiás,AL,2025-02-04,0
131,Marcelo Almeida,548.230.179-60,uvasconcelos@example.com,66 99137-3678,1996-06-07,Araújo do Galho,SE,2024-09-15,0
132,Thiago Guerra,280.165.739-59,xaragao@example.net,+55 82 94578-6103,1956-07-03,Mendonça dos Dourados,CE,2022-12-18,0
133,Marcela Ferreira,241.903.586-06,raelrocha@example.org,12 96800-7229,2004-12-02,Câmara,GO,2024-09-14,0
134,João Guilherme Lima,657.213.948-46,abreunina@example.net,48 98994-4171,1987-01-31,da Mota Alegre,GO,2026-02-09,0
135,Dra. Letícia Correia,283.047.956-47,rezendemaysa@example.com,+55 99 96660-9935,1963-06-16,Rodrigues,PI,2025-06-23,0
136,Maria Alice Montenegro,428.703.169-50,brunarezende@example.org,+55 88 95346-5549,1989-02-14,Martins do Campo,PR,2026-01-09,0
137,Ana Sophia Melo,381.659.270-86,joao-guilhermecosta@example.com,64 99725-2175,1949-05-04,Dias,RS,2026-05-15,0
138,Kamilly Costela,297.601.384-50,elima@example.com,+55 12 90835-0583,1949-08-19,Rocha,AC,2022-09-15,0
139,Henry Gabriel Sales,542.038.769-74,da-rosaamanda@example.com,99 99856-2575,1988-05-01,Cavalcante,SE,2025-10-21,0
140,Henry Gabriel Siqueira,230.461.758-17,qporto@example.net,+55 27 99010-0167,1973-02-19,Campos da Prata,GO,2022-10-07,0
141,Gustavo Sales,046.598.237-92,gcaldeira@example.net,+55 51 94117-3934,1977-12-20,Fogaça,RR,2025-09-02,0
142,Asafe Novaes,739.210.468-31,oliveiramarina@example.org,+55 43 98114-3744,1973-07-27,Aragão de Brito,TO,2023-12-10,0
143,João Vitor Fonseca,561.089.724-67,elisa79@example.com,+55 43 95521-6674,1957-07-29,Sales do Amparo,SE,2026-05-27,0
144,Daniel Cardoso,021.346.597-34,benjamin27@example.com,+55 48 96701-4508,1974-05-21,Rios,MT,2025-06-11,0
145,Dra. Aylla Lopes,375.869.120-68,ramoslevi@example.net,85 97217-5354,1981-01-04,Montenegro,ES,2024-11-28,0
146,Maria Luiza da Costa,178.643.092-40,isaac70@example.org,63 96088-0199,1983-02-23,Moraes da Prata,DF,2025-06-03,0
147,Manuela Fonseca,037.245.861-08,gcamargo@example.net,+55 88 90554-8851,1990-03-26,Cavalcante,PR,2025-07-17,0
148,Dra. Maria Luísa Caldeira,438.071.569-84,sakamilly@example.org,+55 53 97798-2708,1955-03-30,Novaes,PA,2026-03-07,0
149,Sophia Vasconcelos,298.034.751-50,spereira@example.org,14 96547-2269,2002-10-07,Sampaio da Prata,MT,2025-03-04,0
150,Helena Costa,345.716.290-52,maria-luiza99@example.net,66 98460-8106,1994-02-16,Aragão,RO,2025-10-26,0
151,Enrico da Paz,420.581.796-76,pimentapietro@example.net,54 93840-6665,1949-07-15,Albuquerque,SC,2023-07-15,0
152,Melina Câmara,583.691.240-89,cirinoluiz-felipe@example.net,97 91606-4842,1962-10-16,Pacheco,GO,2023-07-20,0
153,Daniela Aparecida,250.684.913-06,vianaanna-liz@example.net,+55 88 92818-2688,1946-01-26,Borges da Praia,ES,2024-02-03,0
154,Luísa Farias,543.689.720-74,rioscecilia@example.com,+55 94 99930-5616,2005-10-19,Nogueira da Mata,AC,2023-08-05,0
155,Dr. Ryan Aparecida,435.907.126-43,costelapaulo@example.net,68 91386-1207,2007-09-14,Andrade de Minas,AP,2024-11-18,0
156,Brayan Oliveira,346.975.810-75,hrocha@example.net,+55 12 99190-1581,1949-05-18,Viana da Mata,RN,2023-06-11,0
157,Maria Helena Gonçalves,072.415.386-17,ana-ceciliarocha@example.net,48 90882-1009,1951-07-29,Nascimento da Prata,AP,2023-11-19,0
158,Dra. Manuella Cunha,682.195.703-77,cauesa@example.net,83 98141-4139,1966-06-03,Farias de Fogaça,BA,2023-07-31,0
159,Carlos Eduardo da Paz,913.275.648-82,emanuelladias@example.com,+55 71 90533-6452,1991-05-15,Mendes dos Dourados,PB,2025-06-22,0
160,Ryan Novaes,129.687.430-31,almeidanatalia@example.net,+55 18 99969-3084,1970-02-05,Rezende de Vasconcelos,BA,2025-12-24,0
161,João Vitor Carvalho,781.324.056-17,oliviacarvalho@example.com,+55 67 92992-7503,1970-07-31,da Conceição de Azevedo,GO,2024-05-09,0
162,Gustavo Moreira,567.309.241-52,yasmin92@example.com,49 95918-4638,1970-10-29,Fogaça da Praia,PR,2023-09-06,0
163,Alana Montenegro,279.104.853-79,levifonseca@example.net,+55 51 93651-7773,1999-08-17,Ramos,TO,2024-09-25,0
164,Augusto Cardoso,928.540.167-85,luiz-miguel86@example.net,+55 15 94137-9772,1973-08-24,Jesus,RN,2022-10-12,0
165,Emilly Pinto,842.567.390-92,gabrielagomes@example.org,+55 47 90388-6291,1955-05-26,Melo,RN,2026-01-24,0
166,Sarah Sá,197.584.026-76,cfreitas@example.net,69 93765-9916,1986-07-03,da Cunha,PR,2022-11-07,0
167,João Miguel Peixoto,864.105.723-44,nrezende@example.net,28 96512-6944,1997-10-20,Nunes da Praia,RN,2023-09-04,0
168,Gabrielly Jesus,897.124.365-19,isabella21@example.net,+55 91 97213-8658,1964-06-09,Castro,MG,2025-07-31,0
169,Diogo Melo,961.027.583-40,nguerra@example.net,99 94902-7703,1988-12-15,Correia do Norte,SE,2022-09-16,0
170,Isabel Pimenta,205.178.643-71,qfogaca@example.com,63 99380-1184,1986-06-26,Ferreira Paulista,ES,2024-11-09,0
171,Maria Luiza Oliveira,042.389.571-05,igor84@example.net,+55 97 97697-3577,1986-12-13,Mendes,AM,2023-07-07,0
172,Hellena Rocha,356.248.071-71,aliciaborges@example.com,38 91827-5539,1963-03-26,Cirino do Oeste,PR,2022-12-21,0
173,Isaque da Luz,398.614.207-03,barrosmarina@example.net,+55 12 98075-9579,1995-11-06,Mendonça da Serra,SP,2023-07-15,0
174,Miguel Câmara,920.435.781-97,xrodrigues@example.org,82 91875-0036,2008-01-08,Duarte,MS,2024-11-10,0
175,Francisco Novaes,439.872.501-60,acostela@example.net,48 95647-2929,1987-05-21,Brito,SC,2026-05-08,0
176,Pedro Garcia,328.901.645-51,mariah44@example.net,+55 27 96120-3471,1964-01-21,Souza de Farias,GO,2026-02-08,0
177,Jade Ferreira,061.254.789-20,daniela58@example.com,77 91694-7225,1970-04-01,Pires Verde,MG,2024-03-20,0
178,Bruno Castro,539.276.481-91,livia59@example.net,79 96220-2341,2003-06-15,Cavalcante,MG,2026-07-18,0
179,Renan Novaes,096.485.237-38,rezendeheloisa@example.com,+55 91 93472-2820,1952-09-11,Ribeiro,MS,2023-02-03,0
180,Dr. Ravi Lucca Nogueira,487.159.623-00,omoura@example.net,27 95783-1745,2004-03-26,da Luz Grande,MA,2026-07-30,0
181,Catarina Ferreira,470.536.281-08,ravi08@example.com,+55 79 96866-3266,1946-05-28,da Luz,AP,2022-09-08,0
182,Valentim Teixeira,948.567.210-11,cirinojoao-gabriel@example.com,+55 48 97974-9735,1974-06-02,Cassiano,AL,2025-05-06,0
183,Cauã da Paz,427.501.638-62,vcunha@example.com,27 97570-5120,1982-02-02,Vasconcelos das Flores,AP,2022-10-12,0
184,Gael da Cunha,601.957.348-66,costamaria-clara@example.net,+55 44 98376-4520,1982-08-26,da Cunha,PR,2024-09-07,0
185,Luiz Miguel Aragão,319.572.068-02,goncalvesryan@example.org,+55 22 99792-5132,1989-02-19,Borges de Rodrigues,RN,2023-12-16,0
186,Ana Liz Araújo,521.736.894-28,msiqueira@example.org,49 95240-7784,1968-09-18,Correia de Nunes,CE,2026-08-24,0
187,Dr. João Guilherme Peixoto,821.473.956-09,xabreu@example.net,95 96209-5935,1982-09-05,Ribeiro,PI,2024-03-01,0
188,Vinicius Rodrigues,782.495.361-00,britorebeca@example.net,+55 34 90220-3173,2001-06-03,Andrade,RJ,2024-05-01,0
189,Rebeca Moura,940.218.736-78,dbarros@example.net,+55 32 95865-0948,1989-05-10,Siqueira,AP,2026-03-30,0
190,Henrique Moreira,193.478.620-96,kamillysouza@example.org,44 97612-2868,2002-06-21,Ribeiro da Serra,PI,2023-12-24,0
191,Dr. Yan Duarte,568.792.140-02,jvargas@example.net,+55 98 95776-0049,1986-07-05,Moreira,BA,2024-07-27,0
192,Kaique Câmara,350.682.174-17,jfogaca@example.org,11 95933-4419,2006-04-10,Nunes do Oeste,SC,2023-12-20,0
193,Dr. Erick Mendonça,914.057.362-16,cecilia66@example.org,+55 91 99060-4805,1950-12-09,Duarte,PE,2025-10-06,0
194,Benicio Rocha,671.832.504-07,enzo79@example.net,+55 27 98641-6862,1993-03-03,Mendes,PI,2023-08-16,0
195,Fernanda Novais,983.102.765-59,riosjulia@example.com,46 95355-9042,1959-03-03,Pimenta dos Dourados,RN,2024-10-04,0
196,Igor Costa,521.096.784-02,arthur51@example.com,79 97053-8338,1955-08-11,Novaes do Amparo,RN,2024-07-23,0
197,Dra. Allana Garcia,980.217.645-11,martinsantony@example.org,54 94510-4636,1995-05-11,Dias,PR,2023-04-15,0
198,Aurora Cirino,387.450.691-66,mariana62@example.org,41 95543-8404,2004-09-01,Alves da Prata,GO,2025-03-23,0
199,Dr. Davi Miguel Borges,683.714.592-46,manuela82@example.org,+55 62 99832-4826,1961-01-13,Rezende,RJ,2023-05-01,0
200,Sr. Vitor Silveira,125.690.873-86,luisa42@example.org,+55 47 92209-9499,2008-02-04,Peixoto,ES,2023-05-11,0
201,Luiz Henrique Barros,729.568.134-55,kcarvalho@example.org,+55 89 90604-6333,1961-05-26,Cavalcanti,PB,2025-08-10,0
202,Lunna Marques,368.704.921-31,vpimenta@example.net,+55 21 98177-0388,2004-09-10,Sousa do Norte,PI,2025-04-23,0
203,Ana Julia Correia,476.283.195-64,salespietra@example.org,83 97181-2982,1972-01-18,Jesus Alegre,PB,2024-11-17,0
204,Gabriela Marques,145.769.032-25,xporto@example.org,53 98926-8602,1947-05-20,Nunes Grande,CE,2023-06-12,0
205,Benjamim Leão,497.251.036-61,pintothiago@example.org,82 97780-9733,2004-10-22,Marques de Jesus,PB,2023-04-20,0
206,Alana da Cruz,843.015.629-15,casa-grandebenicio@example.net,21 95101-6224,1951-02-02,Marques,SC,2025-03-29,0
207,Caleb Vargas,458.306.712-71,joaquimsales@example.com,34 98683-3901,1985-01-31,Mendes,SC,2024-03-20,0
208,Sra. Mariane Pereira,549.187.326-82,ncirino@example.org,18 93010-7139,1992-07-19,Jesus do Norte,MT,2025-04-04,0
